name;surname;birthDate;gender;maritialStatus;numberOfChildrens;priceFactor
Rosa;Chan;06/28/1989 18:38;female;single;4;1.06
Paloma;Porter;12/31/1965 05:29;female;single;2;1.45
Jefferson;Hayes;10/27/1954 14:44;male;married;4;0.98
Jagger;Thomas;01/01/1961 21:51;male;single;4;0.76
Layton;Powell;01/15/1945 02:37;male;single;4;1.07
Raelyn;Dalton;07/01/1947 14:43;female;married;4;0.83
Joelle;Crawford;12/30/1979 05:34;female;married;0;0.7
Dominick;Levy;04/30/1984 12:40;male;single;4;0.64
Alyson;Reese;01/20/1999 11:56;female;married;3;0.65
Dallas;Scott;08/09/1963 00:18;female;single;2;0.69
London;Mcmillan;01/15/1958 08:52;female;married;1;1.38
Tatiana;Bradford;03/17/1994 10:14;female;single;2;1.14
Dane;Martin;06/05/1941 18:40;male;married;2;0.83
Armando;Scott;06/09/1958 04:22;male;single;0;1.49
Reuben;Armstrong;05/25/1996 09:44;male;married;2;1.21
Camila;Knowles;10/31/1970 07:42;female;married;1;1.04
Kehlani;Nichols;12/04/1961 00:20;female;single;1;1.2
Harrison;Stevens;08/04/1985 15:39;male;married;3;1.44
Tinley;Kirby;08/27/1941 20:46;female;single;1;0.81
Laylah;Pacheco;07/02/1989 22:39;female;married;2;0.75
Theo;Robinson;09/13/1942 06:39;male;married;3;0.67
Calliope;Mathews;05/28/1990 19:48;female;single;0;0.89
Andrew;Dickson;01/29/1945 22:03;male;married;4;1.4
Amari;Pratt;11/09/1989 12:39;female;married;3;1.34
Ashton;Jenkins;12/14/1940 07:36;male;married;1;1.44
Beatrice;Sharp;04/17/1994 16:47;female;married;1;1.08
Kathryn;Bruce;08/25/1969 22:50;female;single;2;0.94
Gage;Rocha;08/01/1965 15:16;male;single;2;1.35
Elsie;Jacobs;06/08/1972 08:32;female;married;4;0.77
Hamza;Charles;10/05/1983 14:51;male;married;1;0.58
Emilio;Nichols;09/25/1949 14:41;male;single;4;0.58
Esther;Santana;12/08/1971 09:14;female;married;0;0.74
Aisha;Hurley;07/27/1971 18:25;female;single;1;0.76
Sage;White;08/27/1963 23:06;male;single;2;1.21
Isabella;Willis;11/11/1972 13:16;female;married;1;1.22
Kathleen;Huffman;05/14/1944 11:33;female;married;0;1.05
Blaine;Ramirez;04/22/1950 02:05;male;married;2;1.3
Frances;Valentine;12/06/1981 17:10;female;married;2;0.56
Jaylah;Zamora;07/11/1999 15:31;female;married;4;0.7
Fernanda;Davis;04/05/1998 15:26;female;single;1;0.83
Leroy;Marsh;11/17/1954 05:21;male;single;2;0.89
Reginald;Powell;04/27/1974 04:59;male;married;1;0.9
Brett;Glass;10/16/1975 18:31;male;single;0;0.5
Paige;Brennan;10/04/1978 16:45;female;married;0;1.43
Roger;Sims;12/09/1978 11:06;male;married;3;0.77
Blaise;Wilcox;10/15/1948 14:35;male;single;0;1.4
Billy;Hatfield;12/02/1955 11:36;male;married;2;0.85
Aniyah;Hess;01/28/1974 18:31;female;single;4;1.01
Halo;Reynolds;11/04/1996 05:50;female;married;1;1.26
Faith;Duran;03/29/1975 09:35;female;single;2;1.24
Addison;Day;10/07/1948 02:07;female;single;2;0.74
Natalia;Ballard;02/11/1968 23:27;female;married;1;0.56
Hope;Carter;10/09/1944 13:06;female;married;4;0.77
Joaquin;Mccarthy;09/27/1955 15:27;male;single;1;0.86
Addisyn;Stone;03/09/1967 17:54;female;married;1;0.73
Jamari;George;04/12/1976 03:41;male;married;1;0.95
Chanel;Vasquez;10/10/1999 03:22;female;single;0;0.97
Elora;Bolton;08/09/1965 06:33;female;married;2;0.68
Cash;Hart;11/17/1943 09:25;male;married;3;0.79
Wesson;Gilmore;02/18/1984 08:21;male;married;0;0.82
Kylen;Saunders;10/11/1961 12:11;male;single;2;0.67
Yaretzi;James;02/05/1988 09:30;female;married;3;0.95
Yaretzi;Sheppard;08/14/1953 20:34;female;single;0;0.58
Marshall;Beach;09/23/1960 08:52;male;married;1;1.2
Xzavier;Blanchard;06/04/1967 01:39;male;single;2;1.45
Sky;Burgess;11/23/1995 18:55;female;married;2;1.38
Chaya;Lester;09/05/1955 15:40;female;married;1;1.1
Jaycee;Nicholson;01/17/1960 22:15;female;single;1;0.88
Bobby;Norris;12/04/1993 05:23;male;married;2;1.01
Guadalupe;Faulkner;05/19/1993 18:15;female;single;0;0.91
Imani;Lindsey;06/17/1970 01:01;female;single;4;0.77
Penelope;Witt;10/05/1951 10:09;female;married;0;0.53
Roberto;Henson;02/23/1988 21:50;male;married;3;0.6
Brandon;Eaton;10/05/1967 03:25;male;single;1;0.86
Alfredo;Henson;11/03/1952 05:35;male;married;2;0.74
Andre;Lindsay;04/02/1966 23:08;male;single;0;0.97
Jack;Luna;05/06/1985 19:20;male;married;3;0.96
Nola;Andrews;12/22/1962 23:37;female;single;3;1.31
Alyson;Wilkins;08/31/1975 14:13;female;married;2;0.81
Alexis;Marsh;08/20/1960 10:16;male;single;0;1.11
Charley;Knox;08/01/1970 10:47;female;single;4;1.47
Holly;Roman;01/12/1965 23:21;female;married;4;0.74
Estelle;Lynch;09/02/1951 08:16;female;single;0;1.27
Arden;Mayer;07/01/1998 14:53;female;single;1;1.27
Yaritza;Noble;12/13/1940 15:07;female;married;3;0.67
Adriel;Sharp;02/28/1981 21:28;male;single;2;0.93
Tessa;Montoya;07/01/1997 09:55;female;married;3;0.71
Johnny;Henry;01/01/1971 17:34;male;married;0;1.24
Noor;Hughes;08/30/1958 06:04;female;single;3;1.43
Alisson;Castillo;07/29/1984 19:40;female;single;0;0.71
Titus;Bruce;06/14/1982 04:46;male;married;0;0.56
Brynn;Franco;06/30/1972 17:01;female;single;4;1.08
Wells;Palmer;01/06/1966 02:31;male;single;3;0.53
Azariah;Dominguez;03/25/1963 03:02;female;married;0;1.49
Howard;Martin;02/16/1960 01:44;male;married;1;0.89
Cade;Chaney;03/05/1981 07:33;male;married;3;0.76
Cohen;Thompson;12/15/1993 19:32;male;married;2;1.07
Elizabeth;Boyer;04/06/1985 11:05;female;married;3;0.84
Bria;Blackwell;04/02/1955 16:07;female;single;1;1.02
Aniya;Mcpherson;12/29/1956 17:57;female;married;3;1.48
June;Emerson;09/25/1943 10:44;female;single;4;1.47
Jesse;Douglas;03/08/1967 20:42;male;married;4;0.74
Wilder;Ford;02/02/1981 13:33;male;single;2;1.28
Gianna;Porter;09/15/1988 13:48;female;single;1;1.34
Dakota;Figueroa;09/14/1968 11:51;male;married;0;0.62
Matilda;Fitzpatrick;06/26/1970 09:56;female;married;0;1.07
Fisher;Day;10/21/1957 08:37;male;married;2;1.08
Lincoln;Mitchell;10/04/1996 03:05;male;married;1;1.1
Tyler;Dunn;06/11/1964 19:19;male;single;4;1.16
Emberly;Mcintyre;05/17/1974 22:38;female;married;2;1.35
Carly;Holman;11/17/1952 16:25;female;single;2;1.22
Maggie;Wilkinson;04/18/1971 18:15;female;married;2;1.34
Gabrielle;Vargas;10/20/1948 11:25;female;married;4;1.01
Evangeline;Castaneda;10/02/1999 08:20;female;married;3;1.14
Briar;Wise;12/20/1959 04:14;female;single;4;1.32
Londyn;Sims;04/22/1950 04:51;female;single;4;0.53
Rory;Douglas;01/26/1984 21:13;female;married;2;0.53
Amirah;Avila;02/23/1951 17:16;female;married;0;1.12
Ford;Schneider;03/14/1999 10:59;male;single;4;0.82
Omar;Hill;07/27/1952 12:53;male;single;2;0.62
Linda;Hewitt;05/18/1979 19:44;female;single;4;1.4
Vera;Finch;11/12/1961 19:26;female;married;2;1.43
Delaney;Tyson;03/06/1954 22:41;female;married;0;1.2
Brooklynn;Lang;03/27/1945 09:42;female;married;1;0.6
Royce;Joyner;05/31/1965 17:11;male;single;3;1.01
Daleyza;Martin;06/11/1961 17:21;female;single;3;1.46
Mauricio;Acosta;12/28/1976 03:02;male;single;2;1.13
Makenzie;Pruitt;06/26/1944 09:27;female;single;4;1.16
Oliver;Hicks;09/24/1987 21:25;male;single;1;1.18
Xander;Mclaughlin;12/11/1994 04:25;male;single;1;1.18
Jaxx;Tyson;03/18/1948 03:48;male;married;2;0.51
Lance;Kelley;05/16/1990 05:08;male;married;1;0.82
Chanel;Kennedy;08/15/1998 03:07;female;married;1;0.5
Matteo;Kane;08/16/2000 03:39;male;single;3;1.46
Sylvie;Pugh;10/10/1954 06:31;female;single;2;1.31
Aurelia;Anthony;08/06/1996 20:34;female;single;2;0.99
Jordan;Scott;10/22/1992 11:04;male;single;1;0.73
Dane;Bell;07/18/1947 14:15;male;married;3;0.5
Kehlani;Lee;10/18/1998 23:32;female;single;2;0.91
Keith;Lopez;09/03/1993 16:55;male;single;4;1.29
Mustafa;Snider;12/27/1996 15:10;male;married;0;0.5
Sage;Wiggins;01/27/1974 14:25;male;married;1;1.15
Kylen;Campbell;07/22/1982 21:44;male;single;3;0.98
Halo;Mccarthy;08/12/1955 09:30;female;single;1;1.42
Noel;Gentry;09/14/1996 18:56;male;single;3;0.96
Ayla;Weaver;10/10/1975 23:59;female;married;1;0.53
Colten;Long;02/22/1985 18:07;male;married;4;0.69
Fox;Humphrey;01/12/1980 09:02;male;single;4;1.07
Amiya;Small;09/20/1987 04:57;female;single;3;0.54
Walter;Odom;07/15/1951 16:45;male;single;0;0.65
Deacon;Bailey;06/26/1999 17:17;male;single;3;1.18
Jalen;Strickland;02/21/1991 21:57;male;single;1;1.44
Francis;Vargas;10/07/1952 23:03;male;married;3;0.54
Princeton;Hamilton;10/10/1965 07:23;male;single;2;1.31
Ellie;Gamble;07/11/1943 05:46;female;single;0;0.61
Connor;Santiago;06/02/1961 23:35;male;married;1;0.97
Marina;Shaw;09/02/1986 10:21;female;single;2;1.49
Miley;Rios;01/08/1971 18:34;female;single;2;0.88
Sterling;Burgess;10/11/1945 00:26;male;married;0;1.31
Mina;Vaughn;06/01/1992 16:30;female;single;1;0.78
Hattie;Bartlett;01/13/1986 13:58;female;married;4;0.64
Derrick;Blevins;04/22/1959 13:15;male;single;4;1.15
Kairi;Palmer;02/13/1986 08:39;female;single;2;1.35
Logan;Horne;09/07/1958 10:45;female;single;1;0.87
Luz;Alford;09/22/1953 05:28;female;single;3;1.06
Ruby;Richardson;11/17/1985 09:08;female;single;2;0.72
Esteban;Hobbs;07/10/1989 15:40;male;married;3;1.26
Weston;Nunez;11/29/1945 05:41;male;single;2;1.27
Alistair;Sanders;11/23/1975 12:26;male;married;2;0.61
Lillian;Tillman;11/20/1992 01:23;female;single;3;0.78
Kasen;Hall;02/17/2000 05:31;male;married;3;1.01
Winnie;Sawyer;12/06/1956 03:31;female;married;1;1.21
Jude;Wagner;05/04/1958 20:07;male;single;2;0.79
Landen;Christensen;05/20/1975 11:25;male;single;0;1.43
Chelsea;Nash;12/09/1971 22:42;female;married;3;1.23
Colter;Sargent;01/21/1971 00:32;male;married;1;1.03
India;Hancock;11/23/1982 15:24;female;single;3;1.29
Irene;Hampton;12/15/1944 21:23;female;single;1;1.21
Kimberly;Swanson;01/20/1955 18:06;female;married;2;0.74
Kennedy;Martin;09/15/1941 14:21;female;married;1;0.53
Caspian;Sharp;05/15/1984 02:57;male;single;0;0.93
Uriel;Reyes;10/18/1990 02:11;male;single;3;0.55
Noe;Love;12/15/1991 08:43;male;single;3;0.65
Helena;Vance;02/18/1981 03:42;female;married;1;0.86
Alaina;Garcia;06/09/1988 15:36;female;single;4;0.68
Kimora;Curtis;10/28/1983 08:01;female;married;4;0.87
Jeffery;Lindsay;04/11/1985 00:55;male;single;3;0.77
Ella;Slater;07/11/1957 08:08;female;single;3;0.59
Clark;Austin;06/12/1945 00:43;male;single;2;0.52
Isaiah;Bennett;06/03/1952 21:42;male;married;2;0.54
Karla;Rivera;07/16/1980 17:47;female;single;0;0.69
Celeste;Best;03/03/1989 23:22;female;single;0;1.27
Abigail;Page;06/04/1952 02:58;female;single;2;1.39
Weston;Nielsen;03/30/1983 20:46;male;single;4;0.67
Theodora;Steele;01/18/1978 07:09;female;married;1;1.24
Zeke;Richardson;03/11/1972 15:18;male;married;2;1.37
Adelaide;Thomas;04/09/1978 15:14;female;married;0;0.87
Bellamy;Aguilar;12/05/1989 01:35;male;married;1;1.13
Remy;Holder;03/06/1954 16:24;male;married;2;0.77
Magdalena;Baldwin;05/28/1982 08:15;female;single;4;0.5
Malayah;Fitzgerald;10/11/1966 00:57;female;single;1;0.75
Nasir;Brown;12/21/1970 04:17;male;married;2;0.6
Ridge;Day;12/04/1989 01:16;male;single;1;0.74
Jayleen;Rodriguez;02/12/1969 15:28;female;single;2;1.41
Anika;Vega;04/22/1950 19:35;female;married;3;1.27
Jazmin;Cote;07/09/1987 21:05;female;single;4;0.66
Braydon;Marshall;01/11/1956 16:57;male;married;0;1.41
Thomas;Aguirre;02/02/1990 10:10;male;married;1;1.2
Rosemary;Martinez;03/11/1978 16:05;female;single;4;0.6
Vihaan;Stevenson;01/09/1956 19:34;male;married;0;1.02
Sutton;Pickett;09/19/1954 12:55;female;married;3;0.97
Julian;Gilmore;10/12/1973 13:58;male;single;3;1.07
Jaden;Duran;01/15/1976 03:32;male;married;4;0.96
Clayton;Davenport;03/12/1979 22:12;male;married;0;1.38
Sutton;Glover;09/28/1953 11:36;male;single;0;1.13
Frida;Becker;11/23/1965 21:54;female;single;0;1.03
Houston;Bright;11/26/1945 09:27;male;married;3;1.25
Daphne;Bennett;05/08/1991 06:39;female;married;1;0.57
Jerry;Page;02/18/1953 09:06;male;single;2;1.41
Amani;Oconnor;07/01/1976 01:31;female;single;2;1.45
Maggie;Pena;12/07/1950 18:16;female;married;2;1.18
Ronan;Jacobson;08/07/1944 09:03;male;single;1;0.75
Desmond;Snyder;09/15/1990 15:40;male;married;4;0.58
Grace;May;12/28/1965 06:42;female;married;0;0.64
Blakely;Finley;02/04/2000 09:05;female;single;2;0.54
Kase;Dixon;06/10/1955 03:02;male;married;0;1.42
Luciana;Chapman;03/27/1979 20:05;female;married;4;1.3
Kashton;Saunders;05/27/1959 21:52;male;married;0;0.99
Angela;Coffey;02/23/1997 12:09;female;married;1;1.07
Rey;Pugh;04/28/1966 10:08;male;single;2;0.81
Jaxson;Vasquez;08/21/1989 04:30;male;single;1;0.73
Emerie;Crawford;11/27/1965 22:41;female;married;2;0.54
Kori;Perkins;05/14/1994 02:48;female;single;1;0.7
Emani;Vargas;08/25/1982 14:42;female;married;1;1.21
Roberto;Bush;03/22/1982 11:44;male;married;4;0.74
Ashton;Cunningham;01/24/1960 21:15;male;married;3;1.06
Damon;Thornton;09/18/1940 00:27;male;single;4;1.06
Miah;Gould;12/20/1970 20:40;female;single;4;0.79
Kareem;Holder;03/07/1964 21:41;male;married;3;1.33
Colton;Hawkins;12/17/1987 13:12;male;married;0;0.81
Alma;Best;01/19/1948 09:02;female;married;1;1.35
Donovan;Frederick;04/19/1984 23:53;male;single;3;0.87
Dani;Davis;09/05/1958 18:12;female;single;2;0.97
Rex;Snow;12/20/1982 21:38;male;single;0;1.15
Zayne;Parker;08/24/1968 01:08;male;single;2;1.36
Amiya;Lambert;12/02/1964 05:17;female;single;4;1.39
Cole;Beck;06/28/1993 10:25;male;single;1;0.68
Zaire;Alston;12/30/1957 15:05;male;single;3;0.52
Carmelo;Wong;03/27/1966 19:43;male;single;0;1.44
Dorothy;Mooney;05/29/1946 00:45;female;married;1;0.97
Shelby;Pearson;05/04/1955 14:00;female;single;2;0.52
Leonard;Shaw;09/30/1945 15:56;male;single;0;0.6
Julian;Grimes;09/24/1987 06:34;male;married;4;1.3
Johnny;Mullins;11/29/1962 18:38;male;single;1;0.9
Kaiya;Hayden;08/16/1955 01:32;female;single;2;0.72
Zavier;Ashley;02/24/1943 03:43;male;single;4;1.49
Celia;Lowe;10/08/1952 16:27;female;single;3;0.75
Nicholas;Walsh;10/13/1964 08:34;male;married;4;1.04
Santino;Lawson;03/01/1982 03:21;male;single;1;0.89
Kyra;Hickman;01/08/1958 10:25;female;married;3;1.07
Harleigh;Velasquez;07/26/1972 15:33;female;single;2;1.24
Xzavier;Joyce;04/09/1976 17:51;male;single;1;0.87
Kace;Morse;09/30/1974 22:58;male;single;3;1.47
Cheyenne;Cochran;03/13/1997 17:22;female;single;2;1.33
Alec;Elliott;02/16/1994 10:59;male;single;1;1.09
Giselle;Garner;12/07/1984 07:50;female;married;2;0.57
Maliyah;Perkins;11/18/1989 21:20;female;married;2;0.78
Wes;Prince;05/24/1959 14:17;male;single;4;0.68
Kamryn;Tyler;03/20/1959 21:50;male;married;0;0.55
Angelina;Wyatt;11/03/1976 07:06;female;married;4;1.33
Gracie;Wooten;08/25/1969 19:09;female;married;1;1.26
Yael;Gonzales;12/04/1957 04:10;male;single;2;0.64
Adelina;Pratt;03/09/1970 00:45;female;single;4;0.95
Damian;Pate;10/15/1971 20:19;male;married;4;1.19
Jazlyn;Salazar;03/07/1957 14:26;female;married;4;1.11
Braelynn;Roth;09/15/1980 14:33;female;married;3;1.27
Raylan;Mendez;01/11/1951 00:08;male;married;3;0.67
Niko;Franklin;11/15/1959 23:03;male;married;2;0.58
Talon;Horton;01/28/1971 16:00;male;single;2;1.4
Sutton;Mercer;04/24/1968 05:27;female;married;1;1.14
Charlie;Oconnor;09/05/1967 17:06;male;married;0;0.85
Jerry;Camacho;09/14/1947 10:02;male;single;2;0.68
Zaid;Ware;09/17/1947 04:12;male;single;0;0.5
Talia;Norman;07/22/1982 19:46;female;single;2;1.11
Tripp;Watts;05/11/1987 16:47;male;married;1;1.01
Rowen;Buckner;08/04/1996 08:42;male;married;0;0.81
Sierra;Rios;10/09/1956 18:53;female;single;0;1.38
Aron;Guthrie;06/24/2000 20:32;male;married;3;1.27
Mylo;Valenzuela;05/31/1983 02:57;male;married;4;1.22
Aubrielle;Moses;02/21/1989 02:23;female;married;0;1.35
Royal;Salazar;02/04/1967 15:11;male;single;0;1.41
Paula;Cobb;04/09/1963 21:47;female;single;4;0.58
Trevor;Guzman;03/30/1991 21:46;male;married;3;0.85
Mitchell;Wall;11/03/1972 05:27;male;married;2;1.23
Jayde;Wiley;07/18/1960 11:04;female;married;2;0.99
Ryan;Cruz;04/21/1994 20:13;female;single;1;0.72
Jalen;Blackburn;12/14/1973 01:42;male;single;2;0.52
Kataleya;Flores;09/30/1979 10:32;female;married;0;1.43
Elliana;Grimes;03/15/1999 05:44;female;married;4;1.24
Ariel;Grimes;07/08/1944 07:03;female;married;0;1.46
Thalia;Gaines;09/16/1982 07:46;female;single;4;0.86
Cassandra;Ware;02/02/1977 23:59;female;single;4;0.65
Liv;Hendrix;12/31/1952 09:54;female;married;4;1.22
Kaylani;Newton;04/04/1982 09:44;female;married;2;1.06
Kason;Boyer;06/13/1955 03:16;male;married;3;1.05
Rodney;Martinez;04/19/1961 20:19;male;single;4;0.86
Antonella;Osborn;09/29/1965 15:31;female;married;2;0.69
Will;Mendez;11/17/1968 02:45;male;married;2;0.92
Elaine;Mcclain;05/30/1961 07:02;female;married;1;1.09
Nicolas;Paul;07/20/1985 02:32;male;married;3;0.89
Nova;Noble;03/15/1996 08:38;female;married;2;1.28
Lauryn;Roberts;05/05/1950 23:59;female;married;0;0.95
Emiliano;Cole;09/21/1946 23:26;male;married;1;0.58
Benjamin;Dennis;10/25/1961 07:06;male;married;0;1.03
Lewis;Boone;07/13/1961 14:10;male;married;1;0.53
Cole;Armstrong;02/24/1957 08:08;male;married;0;1.0
Otis;Tyson;03/16/1954 14:25;male;single;3;0.96
Derek;Stevenson;02/07/1995 06:30;male;married;3;0.83
Aaron;Carroll;12/21/1991 14:33;male;married;2;0.89
Meghan;Lang;06/27/1983 03:04;female;married;0;0.66
Wes;Morrow;06/06/1968 19:37;male;single;3;1.25
Kyson;Forbes;02/22/1968 20:05;male;married;3;1.0
Mckenna;Michael;12/09/1989 08:24;female;married;0;0.59
Elisha;Sandoval;09/11/1958 02:00;male;married;4;1.21
Zora;Cote;05/03/1964 22:00;female;single;2;1.22
Mallory;Alvarado;09/21/1975 02:46;female;single;1;0.84
Theodora;Abbott;08/15/1962 22:55;female;single;1;1.45
Lane;Alvarado;03/24/1969 22:13;male;single;3;0.94
Jessica;Carson;06/22/1987 09:37;female;single;0;1.17
Zaylee;Poole;06/01/1978 05:10;female;single;1;0.6
Augustus;Norman;01/14/1948 16:06;male;married;1;1.38
Thea;Espinoza;10/06/1996 19:28;female;married;4;1.33
Salem;Dalton;03/30/1977 05:34;male;married;0;0.97
Elliott;Woodward;03/15/1979 15:11;female;single;1;1.19
Rayne;Rollins;01/23/1989 20:21;female;single;3;1.2
Canaan;Terry;08/28/1983 07:15;male;married;3;0.86
Treasure;Garrett;10/09/1952 21:20;female;married;1;1.31
Ariyah;Dorsey;04/07/1964 12:48;female;married;0;0.63
Aryan;Rowland;08/30/1999 21:23;male;single;1;1.35
Cora;Levy;06/19/1994 19:45;female;single;1;0.56
Maddox;Bennett;02/17/1960 13:40;male;married;0;1.12
Amaya;Leonard;12/29/1984 16:24;female;single;1;0.5
Rosalee;Rivas;09/27/2000 05:51;female;single;1;0.71
Lexie;Ochoa;12/15/1942 11:43;female;married;0;0.97
